"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"17793757",3.74383241708455,9.66138012612329,5.20997179414166,0.00134079562662897,0.947085790391753,-4.01883956317638
"17773733",-2.92861005811693,7.07379916281482,-2.69427535958098,0.03163881652386,0.947085790391753,-4.27762509923421
"17832387",-2.76779624427299,4.53182175939357,-4.35480365775849,0.0035400516911363,0.947085790391753,-4.07848501900965
"17818150",2.67339632775649,8.82849678035894,7.61861162239225,0.000141263426543651,0.947085790391753,-3.92751413714523
"17860610",-2.65733018098362,9.72554427418581,-3.09169121793929,0.0180911464324771,0.947085790391753,-4.21712275780489
"17745928",2.62473116576771,9.73164978609136,3.63517332474311,0.00871093174147973,0.947085790391753,-4.14838872336683
"17736050",2.54748294262542,9.64004268010468,3.46007167197644,0.0109729049792498,0.947085790391753,-4.16887367393291
"17781961",2.36283022121699,10.0355971410754,3.70376519635304,0.00796764259236563,0.947085790391753,-4.14076662003336
"17669860",2.33297969901347,8.10282323229742,5.3271237431807,0.00118313592902456,0.947085790391753,-4.01218888018166
"17718696",-2.1973642331307,7.02322981183544,-2.95893618357107,0.0217598901619113,0.947085790391753,-4.23632954668583
"17877401",-2.17969845907808,6.15234941664207,-3.1606351110329,0.0164516802583416,0.947085790391753,-4.20753692234912
"17619419",2.15423624510061,4.32078591799836,5.77468996698924,0.00074572302395845,0.947085790391753,-3.98946749634378
"17854433",2.09715050165583,10.2447869652638,4.45220632890773,0.00315264336913341,0.947085790391753,-4.07056346542394
"17606039",-2.09356501128667,3.62077128054841,-4.14872809468056,0.00454494949851137,0.947085790391753,-4.09636529798274
"17647093",-2.05710696601686,5.66189550618897,-3.78309651925758,0.00719303886547673,0.947085790391753,-4.13222267235077
"17806807",-2.04873317330013,9.66915711291613,-2.86497330088001,0.0248302948214056,0.947085790391753,-4.25052923039383
"17825097",2.04273716095445,5.5439824677025,2.8267952566674,0.0262059916985787,0.947085790391753,-4.25644352336922
"17633471",-2.04203448478909,5.15836437437405,-2.62535190467195,0.0349201608102109,0.947085790391753,-4.28904181847003
"17687788",2.00918572349884,6.19667553657045,2.57678746862956,0.0374442993649667,0.947085790391753,-4.29724971257853
"17734361",-1.96683515565904,11.7290710990139,-2.38730017659839,0.0492500720824857,0.947085790391753,-4.33054383994028
"17600095",1.95887609532225,3.10281957782294,5.38689619306603,0.00111075700152713,0.947085790391753,-4.00891495442965
"17646713",-1.9351973330063,9.44029566166336,-2.59021617888082,0.0367278798777381,0.947085790391753,-4.29496665842574
"17686172",-1.9013223360418,8.14392227590065,-2.47563775921514,0.0433294126586426,0.947085790391753,-4.31477411947887
"17664770",-1.88150336995607,10.5774571482607,-2.75955571891458,0.0288280595592747,0.947085790391753,-4.26706419793701
"17633553",-1.88075766285926,5.52872502676616,-3.63124262349827,0.00875575445661862,0.947085790391753,-4.14883223526431
"17669104",-1.87308529932253,7.90303792102111,-2.83173137532965,0.026023681898518,0.947085790391753,-4.25567412627997
"17871466",-1.86693026619691,7.50344715720734,-3.84166651800056,0.00667395511890951,0.947085790391753,-4.12609674068589
"17738787",1.84338028669635,9.35519655148647,2.46701849949407,0.0438733079454902,0.947085790391753,-4.3162939192143
"17649706",1.81914002593923,10.0882009965723,4.18267885953747,0.00435973584745095,0.947085790391753,-4.09331056848563
"17811259",1.80286829699945,4.50656929020984,2.77217542183918,0.0283156481033835,0.947085790391753,-4.26505098659183
"17650194",1.80159253040874,10.1092500664226,3.13232244888622,0.0171048548729291,0.947085790391753,-4.21144165612041
"17820577",-1.78849622058835,3.73594680966566,-2.75715951326385,0.0289264523907013,0.947085790391753,-4.26744750153898
"17730286",1.78666868640123,7.87607382796632,9.04693596340438,4.8036206547807e-05,0.947085790391753,-3.9001498291677
"17871383",-1.76789604896269,5.73424814888638,-2.98487001195666,0.0209853372066869,0.947085790391753,-4.23249920733614
"17871394",-1.76789604896269,5.73424814888638,-2.98487001195666,0.0209853372066869,0.947085790391753,-4.23249920733614
"17752029",-1.74929834383057,7.61645589025545,-2.88677402893996,0.0240791677969994,0.947085790391753,-4.24718961842303
"17605335",1.74682051133139,4.385736644672,3.48907161980409,0.010558008624297,0.947085790391753,-4.16537642268303
"17633481",-1.73884394392514,4.62422390643299,-2.7754383569592,0.0281847252534457,0.947085790391753,-4.2645319492425
"17792077",1.70358081397923,4.07194219758468,3.54088801195133,0.0098583714122002,0.947085790391753,-4.15923209073933
"17818030",1.68685401688672,6.12973567758923,5.9837467155913,0.000606226556995484,0.947085790391753,-3.98014691076127
"17699262",1.68156308306562,5.6858864518931,2.94960492365768,0.0220459648710283,0.947085790391753,-4.23771710679883
"17782016",-1.67147660097864,7.75538260871818,-2.44742768658555,0.0451359172007504,0.947085790391753,-4.31976358040461
"17633549",-1.66318799824754,7.88369119366469,-2.47839902259439,0.0431566480491856,0.947085790391753,-4.31428810917417
"17633559",-1.66318799824754,7.88369119366469,-2.47839902259439,0.0431566480491856,0.947085790391753,-4.31428810917417
"17633567",-1.66318799824754,7.88369119366469,-2.47839902259439,0.0431566480491856,0.947085790391753,-4.31428810917417
"17633573",-1.66318799824754,7.88369119366469,-2.47839902259439,0.0431566480491856,0.947085790391753,-4.31428810917417
"17633575",-1.66318799824754,7.88369119366469,-2.47839902259439,0.0431566480491856,0.947085790391753,-4.31428810917417
